SampleID,Tissue,Factor,Condition,Replicate,bamReads,bamControl,Peaks
CES_BK,blood,H3K27me3,WT,1,CES_BK_H3K27me3.sorted.bam,CES_BK_H3.sorted.bam,CES_BK_H3K27me3_macs_peaks.raw.bed
CES_DT,blood,H3K27me3,WT,1,CES_DT_H3K27me3.sorted.bam,CES_DT_H3.sorted.bam,CES_DT_H3K27me3_macs_peaks.raw.bed
CES_EM,blood,H3K27me3,WT,1,CES_EM_H3K27me3.sorted.bam,CES_EM_H3.sorted.bam,CES_EM_H3K27me3_macs_peaks.raw.bed
CES_GN,blood,H3K27me3,WT,1,CES_GN_H3K27me3.sorted.bam,CES_GN_H3.sorted.bam,CES_GN_H3K27me3_macs_peaks.raw.bed
CES_MA,blood,H3K27me3,WT,1,CES_MA_H3K27me3.sorted.bam,CES_MA_H3.sorted.bam,CES_MA_H3K27me3_macs_peaks.raw.bed
CES_VL,blood,H3K27me3,WT,1,CES_VL_H3K27me3.sorted.bam,CES_VL_H3.sorted.bam,CES_VL_H3K27me3_macs_peaks.raw.bed
CES_WS,blood,H3K27me3,WT,1,CES_WS_H3K27me3.sorted.bam,CES_WS_H3.sorted.bam,CES_WS_H3K27me3_macs_peaks.raw.bed
CES_YF,blood,H3K27me3,WT,1,CES_YF_H3K27me3.sorted.bam,CES_YF_H3.sorted.bam,CES_YF_H3K27me3_macs_peaks.raw.bed
CES_CX,blood,H3K27me3,MT,1,CES_CX_H3K27me3.sorted.bam,CES_CX_H3.sorted.bam,CES_CX_H3K27me3_macs_peaks.raw.bed
CES_FG,blood,H3K27me3,MT,1,CES_FG_H3K27me3.sorted.bam,CES_FG_H3.sorted.bam,CES_FG_H3K27me3_macs_peaks.raw.bed
CES_IO,blood,H3K27me3,MT,1,CES_IO_H3K27me3.sorted.bam,CES_IO_H3.sorted.bam,CES_IO_H3K27me3_macs_peaks.raw.bed
CES_KL,blood,H3K27me3,MT,1,CES_KL_H3K27me3.sorted.bam,CES_KL_H3.sorted.bam,CES_KL_H3K27me3_macs_peaks.raw.bed
CES_OZ,blood,H3K27me3,MT,1,CES_OZ_H3K27me3.sorted.bam,CES_OZ_H3.sorted.bam,CES_OZ_H3K27me3_macs_peaks.raw.bed
CES_QU,blood,H3K27me3,MT,1,CES_QU_H3K27me3.sorted.bam,CES_QU_H3.sorted.bam,CES_QU_H3K27me3_macs_peaks.raw.bed
CES_RC,blood,H3K27me3,MT,1,CES_RC_H3K27me3.sorted.bam,CES_RC_H3.sorted.bam,CES_RC_H3K27me3_macs_peaks.raw.bed
CES_RP,blood,H3K27me3,MT,1,CES_RP_H3K27me3.sorted.bam,CES_RP_H3.sorted.bam,CES_RP_H3K27me3_macs_peaks.raw.bed
CES_TB,blood,H3K27me3,MT,1,CES_TB_H3K27me3.sorted.bam,CES_TB_H3.sorted.bam,CES_TB_H3K27me3_macs_peaks.raw.bed
CES_TH,blood,H3K27me3,MT,1,CES_TH_H3K27me3.sorted.bam,CES_TH_H3.sorted.bam,CES_TH_H3K27me3_macs_peaks.raw.bed
CES_WW,blood,H3K27me3,MT,1,CES_WW_H3K27me3.sorted.bam,CES_WW_H3.sorted.bam,CES_WW_H3K27me3_macs_peaks.raw.bed
CES_XP,blood,H3K27me3,MT,1,CES_XP_H3K27me3.sorted.bam,CES_XP_H3.sorted.bam,CES_XP_H3K27me3_macs_peaks.raw.bed
CES_ZV,blood,H3K27me3,MT,1,CES_ZV_H3K27me3.sorted.bam,CES_ZV_H3.sorted.bam,CES_ZV_H3K27me3_macs_peaks.raw.bed
